=== SALIDA SOLO BINARIO ===
# .TEXT SECTION
PC:00000000 00000000000000000000011110110111
PC:00000004 00000000010001111000011110010011
PC:00000008 00000000000001111010010100000011
PC:0000000c 00000000010001111010010110000011
PC:00000010 00000000100001111010011000000011
PC:00000014 00000000110001111010011010000011
PC:00000018 00000001000001111010001010000011
PC:0000001c 00000001010001111010001100000011
PC:00000020 00000001100001111010001110000011
PC:00000024 00000001110001111010111000000011

# .DATA SECTION
PC:00000000 00000000000000000000000001000000
PC:00000004 00000000000000000000000000011001
PC:00000008 00000000000000000000000000001100
PC:0000000c 00000000000000000000000000010110
PC:00000010 00000000000000000000000000001011
PC:00000014 00000000000000000000000001011010
PC:00000018 00000000000000000000000000100010
PC:0000001c 00000000000000000000000001001110
